"Country","7321-1","7321-2","7321-3","7321-4","7351-1","7351-2","7351-3","7351-4","7363-1","7363-2","7363-3","7363-4","7982-1","7982-2","7982-3","7982-4","7761-CM-1","7761-CM-2","7761-CM-3","7761-CM-4","7762-INT-1","7762-INT-2","7762-INT-3","7762-INT-4","7782-1","7782-2","7782-3","7782-4","7782-N-1","7782-N-2","7782-N-3","7782-N-4","7782-S-1","7782-S-2","7782-S-3","7782-S-4"
"AR",,,,21,,,,18,,,,18,,,,21,,,,20,,,,20,,,,21,,,,18,,,,21
"AM",13,13,,,13,13,,,12,12,,,10,10,,,7,7,,,10,10,,,10,10,,,0,0,,,5,5,,
"AU",18,18,21,21,18,18,19,18,17,17,19,18,15,15,21,21,12,12,19,20,15,15,21,20,15,15,21,21,5,5,12,18,10,10,17,21
"AT",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"AZ",13,13,,,13,13,,,12,12,,,10,10,,,7,7,,,10,10,,,10,10,,,0,0,,,5,5,,
"BH",15,15,,15,15,15,,15,14,14,,14,12,12,,12,9,9,,9,12,12,,12,12,12,,12,2,2,,2,7,7,,7
"BY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BE",18,18,21,,18,18,19,,17,17,19,,16,16,20,,12,12,19,,15,15,21,,16,16,20,,16,16,20,,16,16,20,
"BZ",,,,17,,,,17,,,,16,,,,14,,,,11,,,,14,,,,14,,,,4,,,,9
"BO",,,,17,,,,17,,,,16,,,,14,,,,11,,,,14,,,,14,,,,4,,,,9
"BR",18,18,21,21,18,18,19,18,17,17,19,18,15,15,21,21,12,12,19,20,15,15,21,20,15,15,21,21,5,5,12,18,10,10,17,21
"BN",,,,17,,,,17,,,,16,,,,14,,,,11,,,,14,,,,14,,,,4,,,,9
"BG",17,17,17,,17,17,17,,16,16,16,,14,14,14,,11,11,11,,14,14,14,,14,14,14,,4,4,4,,9,9,9,
"CA",15,21,21,21,15,20,19,18,15,20,19,18,14,21,21,21,12,19,19,20,15,21,21,20,14,21,21,21,14,12,12,18,14,17,17,21
"CL",17,17,,17,17,17,,17,16,16,,16,14,14,,14,11,11,,11,14,14,,14,14,14,,14,4,4,,4,9,9,,9
"CN",,,,21,,,,18,,,,18,,,,21,,,,20,,,,20,,,,21,,,,15,,,,20
